10C 8C 9S 6S 3H 3S JD ,    Pair
JH 2D AS 7S 5S 2S 10D ,    High Card
AH 8C 10H KD 9S JD 8D ,    High Card
4C 5D QD 7S 2D 4S QC ,    High Card
10D 8S KC 5C 3C JS KS ,    High Card
6S 7D 9D 3H 9S 8H 10H ,    High Card
2C 3S KD QS 2D AC 7H ,    High Card
2H 10H 8S JC 10C 4C AD ,    High Card
KC JD 6C 5S 5H 4D 8H ,    Pair
7D 5C 3H 6D 8C 10D KH ,    High Card
5H 4H 4C 6S 2C 6H AC ,    Pair
JD 3C 2H 8C 3D 2D KS ,    High Card
10C QD 3H 5C KD 2S AD ,    High Card
6C KC 5S 10D 6S 3C KS ,    High Card
AS 10C 4S 9D 9S QH 10S ,    Pair
4C AH AD 2S 6D 4D QC ,    Pair
7S 2D 2C AC 2H 5H 7C ,    Pair
10D 9S KS 2D 5D 8H 2H ,    High Card
6D QH AC AH KD 10S 5H ,    Pair
7H 3H 2C 8C 9C 10C 9H ,    Pair
9C 8H KH 7C 5C 3D 9H ,    High Card
QD 6C JS 4C AH 5H 3S ,    High Card
3C 8S 8C QS 7D QC 6H ,    Pair
KD 10H QH 2C 6D AS 10S ,    High Card
JS 3D 10D 5C 2D 10C KC ,    High Card
6H 6C 8S 9S 6D QD 3S ,    Pair
9H KD QC 7S 4C 8C 9C ,    High Card
KD 3H QH JH 5H 7S 10C ,    High Card
2S 2H 4D 6C JS 10C JC ,    Two Pair
QD 6D KC 8C AD 5C JH ,    High Card
2D QS 3C 3D AS 3S 6H ,    Pair
8S 5D 2C 4C AH 5H 9S ,    High Card
4H 2S 8C 7S 5C KS KC ,    High Card
4S JS AS 5H 8S 9H 9C ,    High Card
6S 4C 8D 2H 2D 6H 5D ,    Pair
JD 2S 10S 2C 8H AH 3D ,    Pair
7S QS 8C 4D JS 8D 6D ,    High Card
KS 10C 5D KC AC 6S 9S ,    High Card
7D 3C AS 5C KH 9H 3S ,    High Card
KH KS KD 3H AS 10H 9C ,    Three Kind
JH 9S 6C 7C 2C 2S 4D ,    Pair
6S JC 5D 5S AD AC 3C ,    Two Pair
QC KH 5H 5S 4D 3H JH ,    Pair
6C 8H 3D 10C QH 9S 7S ,    High Card
2C 7C KC QD 6H 6D 5C ,    Pair
JS 10H AD QS 10S JD 4S ,    High Card
QC KH 5C 10D 7C KS 6C ,    High Card
JC AD 5H JD 4H KD 8C ,    High Card
7S QH QD 5D AC 9H 10C ,    Pair
3H JD 3C 9H 2C 2H JS ,    Two Pair
9S 7H QD QH 5H 5S 4H ,    Two Pair
6C 7S AD 4D 3S 7C 6D ,    High Card
3D KC 2D 9D 10C KH QC ,    High Card
6H 5D 8C 10C AS 8H AD ,    High Card
3D JS 2D KC AH 10D 4C ,    High Card
10S 3S 9D 5H QH 8S AC ,    High Card
KH 9S 3C 7C 3S 7D AC ,    High Card
AS 6S 7S 6H KD KS QH ,    Pair
8S 5C JS 2S 4H 10D 3H ,    High Card
AD 8C 10S 7H QS QC 2C ,    Pair
8H 9S 6S 2D AD KS 2S ,    High Card
JH 10S 6H 10H QC AH 5H ,    High Card
7S KD 10D 3C 8D AC JD ,    High Card
9H 6H QD 3H 5C 6S 3S ,    High Card
JD AD JH 9D 5S KD 10C ,    Pair
QH 2D 3C 3D KH KS 6D ,    Two Pair
9S 8C 7H AS JS 9C 2C ,    High Card
10C 8S 2S 8D 6H 10S 3H ,    High Card
5D QD 7D 10H 8C QH JD ,    High Card
2D 5C 9D 9S KH 7S QS ,    Pair
2D 8C 3D 8S 9H 6H 2S ,    High Card
AS 5H 5D 5C 6D 8D 4D ,    Pair
10H JC 9S 4H KD JH 10D ,    High Card
9D AH 3S 5S 4S QH 2H ,    High Card
4S AC QS 7C 6C 2C 5H ,    High Card
5C 2H 5S 3H JH 8S 10C ,    Pair
7H 6H QD KD KC JD 9H ,    Pair
2D AS JH KC 5C 8D 10C ,    High Card
2S 4H 9D JH QH 9C 6D ,    High Card
2H 7S 4D 4C 7D 6S 5C ,    Pair
AH 8D 5S QD JD 3H JC ,    High Card
4S 8H KC KH 2D 3D 3S ,    Two Pair
5H 9S QC AH 6D AC 7H ,    High Card
QH 4D JH 9D KD 4S 5S ,    High Card
4C AD 6S 7D 10H KC QD ,    High Card
QS 4H 9S 2S AD 4C 2C ,    High Card
5S 8D 2D 5D 7H 10H 5H ,    High Card
6H 3H KS 9H 10S 9C 2H ,    Pair
3S 4S QC 8S AC JH 7S ,    High Card
2H JS 7D 5H 6D QH 7C ,    High Card
4C 8S 9C 5S QD 3D KH ,    High Card
JD 6C 5D JC 3H JH 4S ,    High Card
KS 8D 5S 6D 5H 6C 7H ,    High Card
3C JH 5D 10S 7C AS 10C ,    High Card
6S 5C 8C 8H 7S 3S AD ,    Pair
JS 10H 3D 10D 2C KH 9H ,    High Card
10D KS 7S 5D AD 4S 3S ,    High Card
8S 8D 5C JD 10C 7D QC ,    Pair
9C 2D 2H 10H 2S AC 8H ,    Pair
10H QC 9H 6D KS AD 7D ,    High Card
JC 5H 3C 2D 7C JD AC ,    High Card
4C 2C 7H JS 4D 3H 4S ,    High Card
2S 10C 10D 5S JH 3D KC ,    High Card
10S JH 8H 9C KC KS 4C ,    Pair
9S 8S JC KD 3D 3H KH ,    Pair
QS 4H 7S 6D AH 2H 6S ,    High Card
AS 8H QH 10D 5H JS KS ,    High Card
7S 10S KD 9D 2D 3H KH ,    High Card
8D 2S 9H QS 2C 7D 6S ,    High Card
AD 4S 4C 4D 8S 6D 10C ,    Pair
KC 5D 9S 4C 10H 4S 9C ,    Pair
2S 9H JH AD 6S 4H AH ,    High Card
JD KH 10S 7S 5C 8C AS ,    High Card
6C 10S QS 10H JC 2C 7H ,    High Card
9C QD 5H 9H KH 10C 7C ,    High Card
8D 10D 6H AS 5S AD 4S ,    High Card
AC 8H 7S 7D 3H 6S AH ,    Pair
JH 4D QD 10C KH 7S 9D ,    High Card
6D AD 6H JC JS 10S 5H ,    Two Pair
QS KD QH 7H 9S 7D 8C ,    Pair
AD 8C 8D 3S 7D 2D AC ,    Pair
4D 4C 6D 9D 2H 5S KS ,    Pair
9H 6H 7S QC 8H 5H KC ,    High Card
KD JD 4H 4S QH 3D 3C ,    Two Pair
KS 3S KD 4S 4H 2S 10H ,    Two Pair
QC JS 8D 9S 10S KH JC ,    High Card
3D AD 10D 7H 8S 2H 10C ,    High Card
JD 9S KD QH 3H JC AC ,    High Card
KD 2C 7D AC 9D 7H 10S ,    High Card
JH 6S QH KS JD 4H 5S ,    High Card
8H QC 9C AS 3D 7C 2S ,    High Card
9H 2H 10C 4C 5C 8D 3S ,    High Card
3H 9D 3C 10C JC KH QD ,    Pair
AC 10D 2H 6H 3S 5C 9C ,    High Card
5D 6S 8C KC 5S 7S 2S ,    High Card
JC KS 5C AD 10D 4S 6D ,    High Card
3C 8D 7H 6C KD 6H KH ,    High Card
4H 2S QD KC 2C 8H AC ,    High Card
5H QS 5S JD 3H 10C 10S ,    Two Pair
9S 2C 5D QH 7S 4S JD ,    High Card
8D QC KH 7D 9H QS 2S ,    High Card
AC 5S KD 3H 9D 6H 10S ,    High Card
3H QS 4H 5C 7C 7H JS ,    Pair
2H KS 8C QH 9C 3D AS ,    High Card
9S 2D 7S JH 6H 5H KD ,    High Card
4S JD AD AC KH 3S KC ,    Pair
6C 2S 7S AD 4C 9S 8S ,    High Card
JD 10S KD 3H JC AS QH ,    High Card
AC 3C 7H QC 8C 7D 3S ,    High Card
QS 8D 2S AS 5C AC JH ,    High Card
4H 9D 5S 2D KC 10D 8C ,    High Card
9S 7D JD 10H 4C KH 8H ,    High Card
QD 7H 9H AD 2C 3S 8S ,    High Card
3D 6H 5C 4H 3C 8C 4D ,    High Card
9C QS 6C 2C KS JH AD ,    High Card
5S 10S QC 10H 7S 6D 6S ,    High Card
AD 2D 7S 5H KH KC JS ,    Pair
7H QS 2S KD 7C 5D 5S ,    High Card
AS KS 8D QH 9H JD 4C ,    High Card
6C 9C 3S 3C JC 8C 5C ,    Pair
QH 7C KH 3H 5D 5C 10C ,    Pair
2C KS 2S 2H 6H 9D KD ,    Pair
JD 5S 3C 10D 9C JC 10S ,    High Card
6H 8S 5C 3H 8H QH JD ,    High Card
JS QD 10H 10D 9H 9C 2C ,    Pair
AD 5S KS QS AH JC 5H ,    High Card
4C 5D 7S 9D QC 2S 3S ,    High Card
5H AD 6C 3D 8H AC KS ,    High Card
JS JC 10D 9S 4D 10H JH ,    Pair
KD 2C AS 9C 2D AH QS ,    High Card
4H 7H 10H KH 10C 10S KD ,    Pair
9D QD JD AH KC 4D JH ,    High Card
6C 5C 3D 5D 3C 4C 2S ,    Straight
AC 6H 2D 9C QH 9S AS ,    High Card
6C AS 9C QH QS 3C AH ,    Pair
7C 2C 10H 3S 4D 5C KH ,    High Card
10S 4S 8H QC 5H 8D 2D ,    High Card
AH 4H 10C 3S 5S 8H 5H ,    High Card
QC 3C KC 9D 2H AS 3D ,    High Card
AH 8D 9C 2C 7S AD 4C ,    High Card
8S 9H 8C QH 6D 3S 5D ,    Pair
JD KD 6H 4S 5S 5C 2S ,    Pair
JC 9D 7D 6D 5C 9H QC ,    High Card
10D 4D 8S 6C 8H 5D 6H ,    High Card
2S 10H 10C 2C KC 5H AD ,    Pair
2S 4D 10D 9D 8H 8C 4C ,    Pair
10C 10H 9S KS 5D 4H 5H ,    High Card
2C AH JS AC QH AD JC ,    High Card
6C 7S KD 3D 6S KH 3C ,    High Card
3S 8H 4C QD 9D JS 4S ,    High Card
9C KS AC AS 5C 3D 6C ,    Pair
2S 7S 5D 7C 3H QC 10H ,    High Card
10S 8H 3H AS 6S JS 4D ,    High Card
3S 3D 4S 3C 10C AD KH ,    Pair
5D 8C QS 8D 4C 5C JC ,    High Card
AC 7S KS 7H JD 9H 5H ,    High Card
6H 8H 5C KD JS 8D 10D ,    High Card
QD 2C 7C 4S 5H QC 3D ,    High Card
8C QS 5D 2D 4C AD 9C ,    High Card
5D JH 3S 3D 9S 4D 6D ,    Pair
QD 10D KS 3H 9C AH 10C ,    High Card
10H 5H 7D 6C 2H KH 2S ,    High Card
2D JC 7S AD 7H 8D JS ,    High Card
4C 9H KD 3H 2D 6H 3C ,    High Card
JS 10D 2S 7H 5C 9S AD ,    High Card
8S KH 7D JH 10S 3S 2C ,    High Card
6C 2S 7C 7D 6D 9S 8D ,    Pair
QC 5C 4D 8H 3H 6S JH ,    High Card
4S AD 4H JD 5H 8C 5D ,    Pair
KH 9C AC 7S QH 7H QD ,    High Card
4H QH 5H 2D 8H 6D 7D ,    Straight
KH QS KS 8D AD 10S 5S ,    Pair
JH 4C KD 9D 4D 6H JS ,    High Card
KS 3H 9H 2C 6H 10H KH ,    High Card
JD 2S QC 8S 6S 5H JC ,    High Card
10S 8H 8D 9D 2D 3C 4C ,    Pair
JH 7S 10C JS 4H QH 10D ,    Pair
5D 5S 3H 6D 10S KC 7D ,    Pair
6H 8D 10C 9S 8H 7H 10D ,    High Card
4H QH KD 6S QD 7S AD ,    High Card
AS QD 9H QH KC 6S 6H ,    High Card
JC 4S 5H 3C AH 2H 8D ,    High Card
9S 4D 6C 4H QS 3S AD ,    High Card
JS KH 3D 7H 6D 7C 8C ,    High Card
6S AC 8S 9S 7D QC QS ,    High Card
JS 10H 4C JD KS 4D 4H ,    High Card
KH 9C 2D 3D 6C 8D 9H ,    High Card
2D QC 8S 2H 10S 6H JS ,    High Card
3D 4S 9S AD 6D 10S 6S ,    Pair
4D 8C 3C 9C 4C 5S 3H ,    High Card
4H 9H 10C 9D 8S 2D 6C ,    Pair
2C 5H KC 10H QC 2S JC ,    High Card
3C 5C KC KS 8H 10D 4D ,    Pair
9S QH 9H KH JH 6D 9D ,    Pair
QS 10C 8S AC 8D 3S 2S ,    High Card
9H 7H 9S 3S KC 2C 6C ,    Pair
4S KS 10C 7D 5S 8D 4C ,    High Card
JS 2S AH 10H AD 6S 7C ,    Pair
KH 4D 10D AC 5C QH 3H ,    High Card
7C JD 2H AH 3S 3H JH ,    Pair
8C 10S 2D QD 5S 4D 8S ,    High Card
QS 3D KS 8H 10C 7H 6D ,    High Card
QC 6H JD 10H 6C 3D KH ,    High Card
10S QH 4D 4S 7C AD JH ,    Pair
AH 4H 8S JC 5D 5S 5C ,    Two Pair
6D 10D 9C AC 2C 9H 2S ,    High Card
7C 2D 4S JS 3H KS 7D ,    High Card
10H 8S 5D KD QC 6C AC ,    High Card
9S QS 10D 3S JC 9D 9H ,    High Card
5S 7H 10D JC 10S QS 5H ,    High Card
7D 4S 9S 6H AS 10C JS ,    High Card
QH KS 9C KH 6D AD QC ,    High Card
9H JD 6C 8H 6S 4C 5D ,    High Card
QC QH 10S AC JS 3D 8C ,    Pair
9C 7D AD 10H 2D 8D 4D ,    High Card
9D 10C 6S 5S 2S JC AH ,    High Card
2C 10H 9D 2S 8D 3S 7S ,    High Card
3H 10S QD 9S JC 6S KD ,    High Card
8S 8C 5D 9H 7C 7H JD ,    Two Pair
6H AC 6C 4S 8H 3D 10C ,    Pair
5S QD 4S 6H 2S AH 6D ,    High Card
JD 10D JC KC 3H 5H AS ,    Pair
3C 10H 2D 3S QC AC 7D ,    High Card
KC 10H 4D 4C 4S 5H 10D ,    Pair
9D QC 8H 7H AC QS 6H ,    High Card
2C 3D 2H JD QH 9H 3H ,    Pair
KH JH 6S JC AH 3C 3S ,    High Card
3H 6S 2S 9D 5S 8S KC ,    High Card
QC 7S 8D 9C 10H 9H 7C ,    Pair
6H 9S 3S QD KH 2D 4H ,    High Card
KC 5D 10D KH KD JD JC ,    Two Pair
8D 9H QC QH 7H 5C 6S ,    Straight
6D 7D 9C 8S 2S 5H AD ,    Straight
AS 4H 8C JS 9S 2D 6C ,    High Card
KS AD QD 4H 5H 3C 5S ,    High Card
3S 10D 2S 6H 8C KD 8H ,    High Card
7S 7D 4S JC AH 7H QH ,    Pair
9H 6H 9S 6S QS JH 2S ,    Pair
9S 8S 2H JD AS 7D 10S ,    High Card
10H 3S 8D 8C 9C 6D 6C ,    Two Pair
4C 3H 2S 5S 6H 7S 10D ,    Straight
7C QC 5D AH JH 3C KC ,    High Card
8C JD 3H QH KC AH 2C ,    High Card
6C 5H 9H 6S 5D QC 2S ,    High Card
5C 6H QD 7H 10C AC 10D ,    High Card
9D KS KC 6C 7H 8H 9H ,    Pair
8D QD 5H 5C KH 4C KD ,    Pair
AD 4H 6S 3H 8S 3S 10H ,    High Card
6D 5S 4S 3C 5D QH 7S ,    Straight
2H AD QC 7D AS 4H 10S ,    High Card
9D JH 9C JD 6C 3S 7S ,    Pair
3C 10D JC QD KC 9S 4C ,    High Card
10D AS 8H 5H 5C KH 8D ,    Pair
9C AD 7H QC 6H 3H QH ,    High Card
4D 10S 7S QD 9D JS 3D ,    High Card
KC JC 4H 9H 3C AC 2C ,    High Card
3H 4C 10H 2H 6S 6C JS ,    Pair
QH 8S JH 10D KS 10S 6H ,    High Card
4S 4H 3C 7D 2C 2S KD ,    Two Pair
2S 6D 7D KC KD 3C 8D ,    Pair
8C 4H 8H 6S 10S JS 7C ,    Pair
AD 5H 4S AC 2C 9S 5S ,    High Card
5D JD 10D 4C KH QH JC ,    High Card
AH KD 7S KC 6C 6S 2C ,    Pair
3H 10S 9D 3D QS JS 10H ,    High Card
AS 9H 5C AD 2S 6D 8H ,    High Card
2H 5D 9D 8C 2D 6D KD ,    High Card
10H KS 10C JS 3H 4S JH ,    High Card
8D 6H QH 4C 5S 3C 9S ,    High Card
10D 3S 2C QC AD 4H 7S ,    High Card
2C QH QS 8C 7S 9D 4H ,    Pair
2H 10D 4C AH 6C 7H 3H ,    High Card
JD 4D 5H JC AS 8H 6S ,    High Card
JD 4D 9D 3C 3D KD JS ,    Flush
8S 7H KC 5D 10C AS 6C ,    High Card
QC 2S AC 5S AD 10H KS ,    High Card
10S 8C JC 9C 6S QD 4H ,    High Card
JH 6S QS 5C 8C AD 6C ,    High Card
4D 4C 9H AH 4S 6D 9S ,    Pair
8S 8D 4H 7C 7D 3H 2H ,    Two Pair
7C KH 9C 7H AC 3D 8D ,    High Card
10H 8S JC 2D 9D 3C 8H ,    High Card
QS 6S 4H 4D QH 5S JD ,    Pair
5C QD QC KD JH 6H 9S ,    Pair
AC 5S 2D 2C 9D 7S 10D ,    Pair
9C KH 3C 5D QS KS KC ,    High Card
4C 5H QC AH KD AD 7C ,    High Card
10C JH 4H QH 5S KH 2H ,    High Card
AC JS 7S 9S JH KH 2H ,    High Card
QC 5D 5C 4C 9C QS 8S ,    Pair
6H 6C KS 7D 2C 2D 3D ,    Two Pair
AD 4H 4S 4D 6D 8C 8D ,    Two Pair
9H 10C 8C JD 2S QH 9C ,    High Card
6C 4H 5C 2C AD 4D KS ,    High Card
10H QS 3D 4C 9S QD 10S ,    High Card
AS 7C JH 9D 10D AC AD ,    High Card
6D QH 4S 7S 10H QS KD ,    High Card
8C 8H JD 4C KS JS JC ,    Two Pair
2S QD KH 8S 8D 3S 6C ,    Pair
KS 3C AC 10D 10H 3D 9H ,    High Card
QC JS KC 4C 8S 2D 5S ,    High Card
8H 6D 9S JC 6C 9C 7H ,    High Card
4D 5D QC 4H 3H 6D AH ,    High Card
QD QH 6C AD AS 5S 9H ,    Two Pair
4S 10S JS 10C 10D AC 2H ,    High Card
3C 8D 8C 3D 9C 4C 3S ,    Pair
10H QS AD 4H 10C 4S 7H ,    Pair
7S KD 3S QC JS 3H 2S ,    High Card
KH KS 4D 6H 9C QD 2H ,    Pair
JD 9S 8S 4S QC 3D 5C ,    High Card
AC QH 10C 3S 9H 3H KC ,    High Card
9C 5H 2C 8H 4H 6S JS ,    High Card
5D KD JH AD 7H JC 2D ,    High Card
JS 5S 3D 5H 3S 10S JC ,    High Card
KS 10C 7D 5D 4S 8S 2H ,    High Card
4D AH KH 8H 3C KD 9H ,    High Card
9S JC 3S AS 8H JD 5D ,    High Card
10S QH JH 7S 3C 4S 10D ,    High Card
6D 4C 8D KH 9H 7H 10H ,    High Card
6S 5S 4H 9C 3D 7D 4D ,    Straight
2H 10C 7D JC 8H 4C 10S ,    High Card
JH 3S 6S 8D 2C 2D 6H ,    Pair
QH 6D 5C KD 4D 5D 4H ,    High Card
3C 3H 5D 4D 2H 9D KD ,    Pair
JS AC 9H QS KH KC 8S ,    Pair
2D KS 5C JH 9C 8D 6D ,    High Card
4H 5H QH 7C AD QC 7S ,    High Card
4H 7C 5H 4S 2C QH AC ,    High Card
KC KH 6D 10C 6C 8H 6S ,    Two Pair
7S 3S QC 5D JC KS 8D ,    High Card
AD 9H AS 8D 7H 3C 3H ,    Two Pair
5C 4H 3D 8C QD JD 9S ,    High Card
3S KC KH 5H QH 9D 8S ,    Pair
QC AC AH 4D 2C 2S KS ,    Two Pair
AC 9S 4D 10D KH 7S 9C ,    High Card
8D 8H AD 4S 2D JD QC ,    Pair
5D 2C 7D QH KD KS 10C ,    Pair
AH 10H 3D AS QC 5D 2S ,    High Card
JH QC KD 2C 7S 9S JS ,    High Card
8D 7D JC 9D QD 3H 5S ,    High Card
6H 8S 10H 2D 10C 5D 2H ,    High Card
3S 2S 4S AS 4C KH 10S ,    Flush
7S QS AC KH 10S 7C 9D ,    High Card
7H 2C 4C 5D 6H 3D AD ,    Straight
4H QH 8H 6D 10D 2S 2D ,    High Card
4C KC JS 10H 3H 7H 2S ,    High Card
AD 9S 2H 10C 9D 10D AS ,    High Card
KS 9H 8S KD 3C 7C JC ,    High Card
6S JH 8H 2D QH 6H 10S ,    High Card
QS 9D 9H 2C 6C 8H 8S ,    Two Pair
AS 6H 4S 4C 5S 3C 2D ,    Straight
6S 2S JD 7H JS 10S KS ,    High Card
JS JC 6D 3S 9H KD 9C ,    Pair
2S AH 10C 6S QS 5C QD ,    High Card
3D KS 2C 2D 2H 3C 7S ,    Pair
8S QC 7C 9D 10H 4S AD ,    High Card
8D 2D 8C 10D KS 4D 9D ,    Pair
JC 7C 3C 6D KC 9H QH ,    High Card
10H 2S 9S 7S 8H AC 7H ,    High Card
7D 4S 5D 10H QS AD 2H ,    High Card
8C 9H QC 3H 2D KC 5C ,    High Card
AC 2S JD 3S 2C KD 10C ,    High Card
AS 4C 6C 7H 10S 7S 10D ,    Pair
8C 2D QS JD AC 10C AD ,    Pair
10S 3C 6H 6S 2C 4D 9H ,    Pair
9D 4C 7S 5H 9S 5D 3S ,    High Card
KD 3C 4H 7S 9D 3S 7C ,    High Card
3H 8D QS 7D 10H QD 4S ,    High Card
6D 5S AD JD AC 8S 9H ,    High Card
5D JH 9S 10S 2C QH 2S ,    High Card
2C 4D 7S 5D 9D 8D 10S ,    High Card
4S AD JH AH 5H 2S 10H ,    High Card
AS KH 6C JS 7H AC 7C ,    High Card
2S 8C JS JH 9D 6C 10C ,    Pair
5C 9S 8S JD 6S 2H JC ,    High Card
5D KH 4S 2D 8H QD 3H ,    High Card
3S 4H 7C AS 6H 5H 10D ,    Straight
JD 7C 10D 2D 8D 7H QC ,    High Card
QD 8C 9D 3D KS 6C 3H ,    High Card
JC 6D JH 6H 3S 4H JS ,    Pair
2H KH 2D 3D 9D 9C 6H ,    Two Pair
QD 10D AC 8C 10H QH 4H ,    High Card
JC JS QS 7S 2C 7D 10S ,    Pair
4D 3S JH 9H 3C 5D 3H ,    High Card
3C 8S JH KH 3H 6C KC ,    High Card
4C AD 2C 9S 6S 8D AS ,    High Card
JS 7S 5S QH 2S 4D 10H ,    High Card
AH AD 2H 9D JH 9C 7S ,    Pair
3S 3C JD 4C 4H 5S 8H ,    Two Pair
5C AH 7D 10S KD QS 9D ,    High Card
9S 8C AC 5D 2H 2D 5H ,    Pair
10C KS 3D 6S 2C AS 6D ,    High Card
AH AS 7H 7D 10D 5C 4H ,    Two Pair
KH QH KC QC 8D 7C 4C ,    Pair
10C 8H 2D 5H JC 3C 6S ,    High Card
QC JH 2C AC 7D 8D AS ,    High Card
AH 3D AD 6C 4H KD 7H ,    Pair
3H 7C KS JD JC 4S 5D ,    Pair
6S 5H QD 7S 6H 2H 8C ,    High Card
QD 2S 9C 6C 6D JS 2D ,    Pair
QS 8H 5C AD 7D 5S 10H ,    High Card
3C 8D 3D KS 7C 5D KH ,    Pair
9H 7S JD 7C 10S 5H 5S ,    High Card
KS 7D 6H KC 8C 6D 9S ,    High Card
5C 3S JC QS 3H 4H 10C ,    High Card
5D 10D 3C QC AD 2H QD ,    High Card
KD 7H 10C 10S 8S 9H AC ,    High Card
JS 5D 3S 7S 2H 2S 10D ,    Pair
3C 8C JD 7D 7C 6S 6H ,    Two Pair
JC QD 8S 7D 5C 8C KD ,    High Card
10C 9H JH 6C 6S 2C 8H ,    Pair
4S KS QH QC AH 9C 7C ,    Pair
8D 3C 9S 10H 3S 6D 5D ,    High Card
AC 3D JS 8S 9H 7S KH ,    High Card
3H 6C AH 7D 10D KD AD ,    High Card
4H 9D 10H JC 10S 4S 4D ,    High Card
6S 6C JC 10D 3C JS AH ,    Pair
2D 8S 10S 4D 7C 5S 10H ,    High Card
9C QH 8H 4S 9H AC 7S ,    High Card
10C KD 2C QD 5D 8C QS ,    High Card
10H 10C 7C 6S AC QS 5D ,    High Card
QH JS 5C 9D 4D 4S 3S ,    Pair
5S 9S 8S 2C 10S 9C KH ,    High Card
4D KD 8H KH 3H 10D 10C ,    High Card
6C JH KC 5H JS 5S 6S ,    High Card
AD 2C 2S KS 9H 2D 9C ,    Pair
7S 7D 9S 7H 10H 5D QS ,    Pair
4D KD 8D 9H 2H AH JC ,    High Card
6D 3S 6H 8C JH AC 5C ,    Pair
KH 2D 10C 6S 9C AD QD ,    High Card
6D 3H 9C 4S 6C KH 9S ,    High Card
QH 9H 5S JD 2H KD QC ,    High Card
3S 3C 4C QD 10C AC 5H ,    Pair
KC AD KS 5C 10D 7D 7C ,    Two Pair
QH 2S 5H AH 4S KH JH ,    High Card
3C KS AD 4C JS 6C QC ,    High Card
2C 6S 10S 8H 3S 5D 5S ,    High Card
9C 4S 4H AH QH 2C QD ,    Pair
9H 2H 5H 10H 6H 4H QD ,    Flush
KC 3C AD 7C JC KH AC ,    High Card
QS 8S 3H 6S 4D 7H 2D ,    High Card
10C 10D QC 4S 5S JD AS ,    High Card
2S 5S 8C 8H KD 3D QH ,    Pair
3C 5D 9H 4S 5C 3H 8D ,    High Card
10H KC 8S QC AC JS 10S ,    High Card
7D 3S 10D 2H 6C AH 4S ,    High Card
4C 4H 6H 8C 2D 5S 9S ,    Pair
5C AC KS 2C JD 10H KH ,    High Card
QS 10C 8H AD 3H 3C QC ,    Pair
10D JD 7S AC 7H AD 5D ,    High Card
2C 6H QH JC 9H 4S 9D ,    High Card
5S JS 10H 6S 4C 4H 7C ,    Pair
KH 9C 5S 4D 6S 7H JC ,    High Card
5C 7C AH JS KD KS 2S ,    Pair
10C 5D 7S JD 9H QS 3H ,    High Card
6H 10D 3S 4H 2H 4C QC ,    High Card
10C 9C JD QC 9S 4H AS ,    High Card
10H KH 7D 3H JH 10D 2C ,    High Card
6C 9H 8C KS 5H QD 10S ,    High Card
3C KS 6D QH JD 6H 5D ,    High Card
2S 5H 9H 10D 5S 10C 4H ,    High Card
KD 3S 7D AC 8C 9C 10S ,    High Card
6S 7S 2H 3D 8H JS QS ,    High Card
AH 5D JS 4S JC 10C 5S ,    High Card
4D 4C 10D JH 7D 9S 6D ,    Pair
KS KH 7S 2H KD AC 4H ,    Pair
2S QC 8S 10S AC 10H JH ,    High Card
JD 5D 5C 4C AD 2D 9S ,    Pair
QH KS 8H KH 2C 6S 9H ,    High Card
7S 7D AS 6D 6C 10D 3S ,    Two Pair
8S 9S 2S 3C QC JS 6C ,    High Card
2C QS 10C 8H 8D 6D 5H ,    Pair
KH QH 7H 3D KD 2D JC ,    High Card
5S 2C 8S 6S 7C 9H AS ,    Straight
5H 6D 9D JD 6H 7S KD ,    High Card
AH 9S 3D 4S JS 10D 10C ,    High Card
JH 2H QD 2D 10S JC 8H ,    High Card
2D AS 5H QC 9C 8S 6C ,    High Card
KC 3D 3C 6D 3S 9S QD ,    Pair
2H JS 4H 10D 4D 8D 7S ,    Pair
KC AS 4C 10S 2S 2C 3C ,    Pair
JD 8C 8H 6D AC 3D 6S ,    Pair
7H AH 5S 7S 5H 4H 10C ,    High Card
9H QC 4S 8D 9C JC AD ,    High Card
7S JC AC KD 2C 3C JD ,    High Card
9D 3D 6C QC AH 5D JH ,    High Card
QD 3S 6D 9C AS 2H KS ,    High Card
5S 4S 7H QH 5H 9D 4C ,    High Card
10H QD 8D AS KS 4S 5D ,    High Card
6D 6H 8C 2S 5S 9D JH ,    Pair
KD QH 8H 10C KC 8S 7D ,    High Card
4D QC AC 9S 3D 2D KH ,    High Card
10C 4S KS 4H AS 5H 2D ,    High Card
QC 7C AH 9C 4C 10S QD ,    High Card
2H 6C 10D JC 4D QS KC ,    High Card
KH 5C 5S 8D 3C 3H 4S ,    Two Pair
6D 8H 4C 6C 10S JH 10C ,    High Card
JC QS 10H 10D KS AH 9H ,    High Card
3S 2S AD JS 3D 7C 6S ,    High Card
KC 9C 10C 4D 3C JS QH ,    High Card
6S AS 6C 8H 2S 7S 9H ,    Pair
4H AD JH 4S 2D 10H 2H ,    Pair
8H 8C 3S JD QC 7S 5C ,    Pair
10C 6H 5S 3H JS 4C QS ,    High Card
9D KC KD 6D 4S 2C 3C ,    Pair
6C 6S KS 9S JH 3D 5H ,    Pair
9S 10C 9D KH 8C 4H 3C ,    Pair
5S JC 4D 6H 8D 2S 5H ,    High Card
3S 2C 10S 3D AD JH 10D ,    Pair
KD 3D JH 7D 5S 9C 5H ,    High Card
6D 2C AH 5C 2H 6S 9S ,    High Card
KS 5D 7S 8D 10H JD AC ,    High Card
3C 4S JC 8C 10C AS 6H ,    High Card
